Graph,DTree,nDTree,HK,ET,opt
DNC,2.655934845108869e-06,3.6021801827679352e-06,6.460549387652872e-06,6.308731593827398e-06,3.374229052591073
CA,4.0077910678510494e-06,5.189869085888812e-06,1.1383385792377209e-05,9.60128798150583e-06,12.15460138980333
MS,3.961478048650222e-06,8.272064012253433e-06,1.0021281149418772e-05,8.893048875872543e-06,4.3216518354578275
WI,4.775486539495628e-06,5.616323284841448e-06,1.2641287422789116e-05,6.8050684003528875e-06,1.4483840467151912
FB,4.425143996528638e-06,7.111572961573812e-06,1.020280432343335e-05,8.518013281529356e-06,1.961245375661268
Tech,2.8190650943859523e-06,3.9757518251601224e-06,1.3656453557011814e-05,0,0
EN,2.3020510891128776e-06,2.242338079934423e-06,4.764753439237018e-06,0,0
ST,5.0657519967381255e-06,2.308507415783288e-05,1.9158734831298368e-05,0,0
YT,3.1847144059406363e-06,9.422751381769672e-06,1.6230488088688497e-05,0,0
SC,2.4111983586438955e-06,4.550469176473206e-05,0,0,0
